"","year","yday","hour","X","datetime","do","wtemp","do_eq","o2_sat","par","wspeed","PAR_Kd","par_int","z","k","series","unique_series","series_length","unique_day","index"
"373",2021,197,14,1249,2021-07-16 14:00:00,7.39858333333333,21.22425,7.04155944198183,1.05070238976084,1848.34066666667,0.537566520137467,0.080341659,1642.46010806119,3,0.0118342009278139,1,1,4383,16,373
"374",2021,197,15,1251,2021-07-16 15:00:00,7.35675,21.3365,7.0258616553821,1.04709576715967,1582.68133333333,0.516103789992703,0.080341659,1406.39168993726,3,0.0117595445351863,1,1,4383,16,374
"375",2021,197,16,1253,2021-07-16 16:00:00,7.4235,21.1349166666667,7.05409524080539,1.05236741872405,1238.98016666667,0.493642793329578,0.080341659,1100.97426038833,3,0.0115907341481148,1,1,4383,16,375
"376",2021,197,17,1255,2021-07-16 17:00:00,7.48783333333333,21.2223333333333,7.04182800102234,1.06333658422873,326.0845,0.426758936599382,0.080341659,289.763025164055,3,0.0112830426781728,1,1,4383,16,376
"377",2021,197,18,1257,2021-07-16 18:00:00,7.42075,21.36975,7.02122321197544,1.0569027327522,80.5081666666667,0.470682663407272,0.080341659,71.5406280388834,3,0.0115425212271189,1,1,4383,16,377
"378",2021,197,19,1259,2021-07-16 19:00:00,7.24591666666667,21.3420833333333,7.02508240383308,1.0314351135174,25.1918333333333,0.134765979978752,0.080341659,22.3857982703727,3,0.00986073865587457,1,1,4383,16,378
"379",2021,197,20,1261,2021-07-16 20:00:00,7.25775,21.1955833333333,7.04557797674561,1.03011421120519,0,0.0449219933262507,0.080341659,1e-05,3,0.00937958131503686,1,1,4383,16,379
"380",2021,197,21,1263,2021-07-16 21:00:00,7.29508333333333,20.8980833333333,7.0875143342938,1.02928657202641,0,0.0224609966631254,0.080341659,1e-05,3,0.00920113108534638,1,1,4383,16,380
"381",2021,197,22,1265,2021-07-16 22:00:00,7.25525,20.8101666666667,7.09998904890177,1.02186777332033,0,0.0224609966631254,0.080341659,1e-05,3,0.00918139410560843,1,1,4383,16,381
"382",2021,197,23,1267,2021-07-16 23:00:00,7.21466666666667,20.7815,7.10406475796459,1.01556882045284,0,0.0449219933262507,0.080341659,1e-05,3,0.00928537903445542,1,1,4383,16,382
"383",2021,198,0,1269,2021-07-17 00:00:00,7.25166666666667,20.4628333333333,7.14964267427269,1.01426980298765,0,0.0898439866525015,0.0806649216,1e-05,3,0.00943225721106918,1,1,4383,17,383
"384",2021,198,1,1271,2021-07-17 01:00:00,7.27816666666667,20.3644166666667,7.16382029870027,1.01596164660735,0,0.269531959957504,0.0806649216,1e-05,3,0.0102838077693159,1,1,4383,17,384
"385",2021,198,2,1273,2021-07-17 02:00:00,7.25391666666667,20.3155,7.17088504649608,1.01157899194203,0,0.202148969968128,0.0806649216,1e-05,3,0.00994394966975309,1,1,4383,17,385
"386",2021,198,3,1275,2021-07-17 03:00:00,7.23758333333333,20.1508333333333,7.19475499096388,1.0059527172813,0,0.0673829899893761,0.0806649216,1e-05,3,0.00925135132824308,1,1,4383,17,386
"387",2021,198,4,1277,2021-07-17 04:00:00,7.25141666666667,20.1446666666667,7.19565155536325,1.00774983486545,0,0,0.0806649216,1e-05,3,0.00892383484118646,1,1,4383,17,387
"388",2021,198,5,1279,2021-07-17 05:00:00,7.23666666666667,20.0825833333333,7.20468847946825,1.0044385246204,4.05183333333333,0,0.0806649216,3.59883773737908,3,0.00891016399518826,1,1,4383,17,388
"389",2021,198,6,1281,2021-07-17 06:00:00,7.20058333333333,19.9421666666667,7.22519978240354,0.996592973230974,26.0726666666667,0,0.0806649216,23.1577384840046,3,0.00887927471871007,1,1,4383,17,389
"390",2021,198,7,1283,2021-07-17 07:00:00,6.97358333333333,19.6676666666667,7.26558849093194,0.959809840873447,172.467166666667,0,0.0806649216,153.185310647571,3,0.00881901280290773,1,1,4383,17,390
"391",2021,198,8,1285,2021-07-17 08:00:00,7.09383333333333,19.6188333333333,7.27281432526445,0.975390408179491,676.832333333333,0.0673829899893761,0.0806649216,601.162373348281,3,0.0091301962217006,1,1,4383,17,391
"392",2021,198,9,1287,2021-07-17 09:00:00,7.20575,19.8599166666667,7.23726108412718,0.995645993178789,993.0515,0.179687973305003,0.0806649216,882.028188069822,3,0.00972471991458686,1,1,4383,17,392
"393",2021,198,10,1289,2021-07-17 10:00:00,7.24383333333333,20.1689166666667,7.1921269822418,1.00718929896805,1765.89466666667,0.29199295662063,0.0806649216,1568.46736867339,3,0.0103431597080882,1,1,4383,17,393
"394",2021,198,11,1291,2021-07-17 11:00:00,7.25983333333333,20.55,7.13712581721365,1.01719284754988,1953.68833333333,0.381836943273131,0.0806649216,1735.26567424061,3,0.0108797669881995,1,1,4383,17,394
"395",2021,198,12,1293,2021-07-17 12:00:00,7.27183333333333,20.7125,7.11389133223164,1.02220191365394,2029.9685,0.359375946610006,0.0806649216,1803.01770642692,3,0.0108129473980514,1,1,4383,17,395
"396",2021,198,13,1295,2021-07-17 13:00:00,7.28658333333333,20.8170833333333,7.09900626479029,1.02642300366368,1978.704,0.538065653396648,0.0806649216,1757.48458548878,3,0.0117198320323003,1,1,4383,17,396
"397",2021,198,14,1297,2021-07-17 14:00:00,7.30491666666667,21.0164166666667,7.07078280203859,1.03311286333963,1832.48566666667,0.604450376867663,0.0806649216,1627.61348453119,3,0.0121051988072939,1,1,4383,17,397
"398",2021,198,15,1299,2021-07-17 15:00:00,7.35491666666667,20.9955833333333,7.07372359388791,1.03975177557428,1545.15783333333,0.582987646722898,0.0806649216,1372.40894758922,3,0.0119929919890414,1,1,4383,17,398
"399",2021,198,16,1301,2021-07-17 16:00:00,7.39908333333333,21.0588333333333,7.06480180347828,1.04731647669018,855.465333333333,0.493642793329578,0.0806649216,759.824176204906,3,0.0115692909646393,1,1,4383,17,399
"400",2021,198,17,1303,2021-07-17 17:00:00,7.46216666666667,20.992,7.07422962080666,1.05483806246817,345.462833333333,0.448720800003327,0.0806649216,306.84003491306,3,0.0113284964265205,1,1,4383,17,400
"401",2021,198,18,1305,2021-07-17 18:00:00,7.50283333333333,20.9698333333333,7.07736130273253,1.06011732514441,113.803666666667,0.202148969968128,0.0806649216,101.08039905856,3,0.0101046574492343,1,1,4383,17,401
"402",2021,198,19,1307,2021-07-17 19:00:00,7.5105,20.9203333333333,7.08436317025215,1.06015174822449,31.0053333333333,0.0449219933262507,0.0806649216,27.5389322512487,3,0.00931692073303878,1,1,4383,17,402
"403",2021,198,20,1309,2021-07-17 20:00:00,7.458,20.7081666666667,7.1145092366193,1.04828031730041,0,0,0.0806649216,1e-05,3,0.00904829765984897,1,1,4383,17,403
"404",2021,198,21,1311,2021-07-17 21:00:00,7.39483333333333,20.6169166666667,7.12754225406253,1.03750115674424,0,0,0.0806649216,1e-05,3,0.00902809653447266,1,1,4383,17,404
"405",2021,198,22,1313,2021-07-17 22:00:00,7.34533333333333,20.5995833333333,7.13002255462164,1.03019776965111,0,0,0.0806649216,1e-05,3,0.00902426126667939,1,1,4383,17,405
"406",2021,198,23,1315,2021-07-17 23:00:00,7.26341666666667,20.4920833333333,7.1454382747464,1.01651100847617,0,0.0224609966631254,0.0806649216,1e-05,3,0.00911012622717887,1,1,4383,17,406
"407",2021,199,0,1317,2021-07-18 00:00:00,7.21383333333333,20.4279166666667,7.15466715804582,1.00826959157995,0,0,0.0809881842,1e-05,3,0.00898631223178049,1,1,4383,18,407
"408",2021,199,1,1319,2021-07-18 01:00:00,7.20758333333333,20.4475,7.15184838482458,1.00779308306186,0,0.0449219933262507,0.0809881842,1e-05,3,0.00920967131180985,1,1,4383,18,408
"409",2021,199,2,1321,2021-07-18 02:00:00,7.1985,20.391,7.15998602938046,1.00537905667155,0,0,0.0809881842,1e-05,3,0.00897815962147077,1,1,4383,18,409
"410",2021,199,3,1323,2021-07-18 03:00:00,7.233,20.1864166666667,7.18958531706881,1.00603855174069,0,0.0449219933262507,0.0809881842,1e-05,3,0.00915066267097565,1,1,4383,18,410
