"","year","yday","hour","X","datetime","do","wtemp","do_eq","o2_sat","par","wspeed","PAR_Kd","par_int","z","k","series","unique_series","series_length","unique_day","index"
"824",2021,216,9,2151,2021-08-04 09:00:00,7.40816666666667,19.95925,7.22269898265093,1.02567844575293,1647.863,0.134765979978752,0.0864836484,1451.44126078172,3,0.00953226518201361,1,1,3580,35,824
"825",2021,216,10,2153,2021-08-04 10:00:00,7.41658333333333,20.1023333333333,7.20181153243121,1.02982191354702,1909.999,0.202148969968128,0.0864836484,1682.33121118189,3,0.00989181546701898,1,1,3580,35,825
"826",2021,216,11,2155,2021-08-04 11:00:00,7.44091666666667,20.1260833333333,7.19835452500079,1.03369688736828,2070.31066666667,0.802606280762347,0.0864836484,1823.53407063361,3,0.0128022747283656,1,1,3580,35,826
"827",2021,216,12,2157,2021-08-04 12:00:00,7.44466666666667,20.1436666666667,7.19579696226493,1.03458542614624,2087.575,0.269531959957504,0.0864836484,1838.74053242071,3,0.0102280163142471,1,1,3580,35,827
"828",2021,216,13,2159,2021-08-04 13:00:00,7.453,20.1653333333333,7.19264760875821,1.03619701748279,2005.129,0.471680929925633,0.0864836484,1766.1219189884,3,0.011212311503598,1,1,3580,35,828
"829",2021,216,14,2161,2021-08-04 14:00:00,7.45025,20.2014166666667,7.18740797417976,1.03656979355624,1801.128,0.202148969968128,0.0864836484,1586.43740113666,3,0.0099160347882892,1,1,3580,35,829
"830",2021,216,15,2163,2021-08-04 15:00:00,7.45375,20.131,7.19763921990258,1.03558260872388,1480.857,0.224609966631254,0.0864836484,1304.34201818806,3,0.0100074863184083,1,1,3580,35,830
"831",2021,216,16,2165,2021-08-04 16:00:00,7.46558333333333,20.07725,7.20546571513592,1.03610004245125,1080.254,0,0.0864836484,951.490037536187,3,0.00890898997467722,1,1,3580,35,831
"832",2021,216,17,2167,2021-08-04 17:00:00,7.45758333333333,20.0339166666667,7.21178609891627,1.03408271280453,557.039,0,0.0864836484,490.641144600363,3,0.00889945333379824,1,1,3580,35,832
"833",2021,216,18,2169,2021-08-04 18:00:00,7.47641666666667,19.9594166666667,7.22267459193385,1.03513131756153,135.296,0,0.0864836484,119.169006658153,3,0.00888306712883883,1,1,3580,35,833
"834",2021,216,19,2171,2021-08-04 19:00:00,7.50158333333333,19.8498333333333,7.23874210641658,1.03631034550654,10.57,0,0.0864836484,9.31007864516818,3,0.00885898620439118,1,1,3580,35,834
"835",2021,216,20,2173,2021-08-04 20:00:00,7.48475,19.8484166666667,7.23895022568869,1.03395516844957,0,0,0.0864836484,1e-05,3,0.00885867506247936,1,1,3580,35,835
"836",2021,216,21,2175,2021-08-04 21:00:00,7.45433333333333,19.8525,7.2383503804078,1.02983869826337,0,0,0.0864836484,1e-05,3,0.00885957189509662,1,1,3580,35,836
"837",2021,216,22,2177,2021-08-04 22:00:00,7.46333333333333,19.79175,7.24728344377853,1.02981115492872,0,0,0.0864836484,1e-05,3,0.00884623295874408,1,1,3580,35,837
"838",2021,216,23,2179,2021-08-04 23:00:00,7.47583333333333,19.74425,7.25428136415641,1.0305408569168,0,0,0.0864836484,1e-05,3,0.0088358089249469,1,1,3580,35,838
"839",2021,217,0,2181,2021-08-05 00:00:00,7.45391666666667,19.7401666666667,7.25488348243776,1.02743437364786,0,0,0.086806911,1e-05,3,0.00883491305294388,1,1,3580,36,839
"840",2021,217,1,2183,2021-08-05 01:00:00,7.456,19.682,7.26346994321253,1.02650662263253,0,0,0.086806911,1e-05,3,0.00882215539168523,1,1,3580,36,840
"841",2021,217,2,2185,2021-08-05 02:00:00,7.41591666666667,19.5778333333333,7.27889062684511,1.01882512691099,0,0,0.086806911,1e-05,3,0.00879932703230531,1,1,3580,36,841
"842",2021,217,3,2187,2021-08-05 03:00:00,7.35733333333333,19.4061666666667,7.30442726158264,1.00724301438786,0,0,0.086806911,1e-05,3,0.00876175779879824,1,1,3580,36,842
"843",2021,217,4,2189,2021-08-05 04:00:00,7.37508333333333,19.4984166666667,7.29068527182574,1.01157614934137,2.114,0,0.086806911,1.86115212046966,3,0.00878193865190422,1,1,3580,36,843
"844",2021,217,5,2191,2021-08-05 05:00:00,7.39333333333333,19.597,7.27604899177354,1.01611923472373,70.819,0,0.086806911,62.3485960357335,3,0.00880352566922431,1,1,3580,36,844
"845",2021,217,6,2193,2021-08-05 06:00:00,7.39108333333333,19.5474166666667,7.2834041028318,1.01478419005471,387.919,0,0.086806911,341.521414106182,3,0.00879266562984433,1,1,3580,36,845
"846",2021,218,5,2195,2021-08-06 05:00:00,7.54654545454545,18.8775454545455,7.38404187456185,1.0220074022797,38.052,0,0.0871301736,33.4852030395943,3,0.00864647994480191,1,1,3580,37,846
"847",2021,218,6,2197,2021-08-06 06:00:00,7.53183333333333,18.7925833333333,7.39697761150714,1.01823119237463,199.773,0,0.0871301736,175.79731595787,3,0.00862801069721628,1,1,3580,37,847
"848",2021,218,7,2199,2021-08-06 07:00:00,7.74033333333333,18.27625,7.47644037894382,1.03529660386683,488.334,0,0.0871301736,429.72677234146,3,0.00851612677826681,1,1,3580,37,848
"849",2021,218,8,2201,2021-08-06 08:00:00,7.85083333333333,18.0733333333333,7.50807405678685,1.04565209053001,862.512,0,0.0871301736,758.997935564138,3,0.00847232825717082,1,1,3580,37,849
"850",2021,218,9,2203,2021-08-06 09:00:00,7.82208333333333,18.2759166666667,7.47649215470159,1.04622370644961,1200.04733333333,0,0.0871301736,1056.02408845239,3,0.0085160547496955,1,1,3580,37,850
"851",2021,218,10,2205,2021-08-06 10:00:00,7.79875,18.4478333333333,7.44987090568817,1.04683022011099,1578.45333333333,0,0.0871301736,1389.01582979058,3,0.0085532382293911,1,1,3580,37,851
"852",2021,218,11,2207,2021-08-06 11:00:00,7.79625,18.5423333333333,7.43530734101555,1.04854441685193,1833.54266666667,0.269531959957504,0.0871301736,1613.49070942638,3,0.00982696117510901,1,1,3580,37,852
"853",2021,218,12,2209,2021-08-06 12:00:00,7.81416666666667,18.5963333333333,7.42700738728122,1.0521285706607,1775.76,0,0.0871301736,1562.6428085144,3,0.00858541258325339,1,1,3580,37,853
"854",2021,218,13,2211,2021-08-06 13:00:00,7.86025,18.4341666666667,7.45198118313009,1.05478661403415,1573.52066666667,0.0898439866525015,0.0871301736,1384.67515532248,3,0.00896688970589081,1,1,3580,37,854
"855",2021,218,14,2213,2021-08-06 14:00:00,7.88008333333333,18.3971666666667,7.45769956456074,1.0566372733463,1181.02133333333,0,0.0871301736,1039.28148693259,3,0.00854227243236516,1,1,3580,37,855
"856",2021,218,15,2215,2021-08-06 15:00:00,7.89791666666667,18.33825,7.4668208652962,1.0577348525092,822.346,0,0.0871301736,723.652443466788,3,0.00852952865672025,1,1,3580,37,856
"857",2021,218,16,2217,2021-08-06 16:00:00,7.81891666666667,18.9434166666667,7.37403964427035,1.06033016417833,483.401333333333,0,0.0871301736,425.386097873365,3,0.00866081045208158,1,1,3580,37,857
"858",2021,218,17,2219,2021-08-06 17:00:00,7.66108333333333,19.7315833333333,7.25614944005672,1.05580561654935,230.426,0,0.0871301736,202.771507295321,3,0.00883303001178535,1,1,3580,37,858
"859",2021,218,18,2221,2021-08-06 18:00:00,7.6995,19.4540833333333,7.29728380720086,1.05511861720415,82.446,0,0.0871301736,72.5512732524544,3,0.00877223783658973,1,1,3580,37,859
"860",2021,218,19,2223,2021-08-06 19:00:00,7.70358333333333,19.175,7.33905975334564,1.04966897562341,12.684,0,0.0871301736,11.1617343465314,3,0.00871126982773111,1,1,3580,37,860
"861",2021,218,20,2225,2021-08-06 20:00:00,7.74258333333333,18.7469166666667,7.40394668143467,1.04573731638935,0,0,0.0871301736,1e-05,3,0.00861809038134958,1,1,3580,37,861
"862",2021,218,21,2227,2021-08-06 21:00:00,7.78025,18.9200833333333,7.37758002299447,1.05458022491799,0,0,0.0871301736,1e-05,3,0.00865573308153462,1,1,3580,37,862
"863",2021,218,22,2229,2021-08-06 22:00:00,7.80041666666667,18.7371666666667,7.40543607282332,1.05333657464047,0,0,0.0871301736,1e-05,3,0.00861597297561768,1,1,3580,37,863
"864",2021,218,23,2231,2021-08-06 23:00:00,7.83233333333333,18.5894166666667,7.42806960410697,1.05442379390237,0,0,0.0871301736,1e-05,3,0.00858391286608828,1,1,3580,37,864
"865",2021,219,0,2233,2021-08-07 00:00:00,7.85058333333333,18.36425,7.46279324602638,1.05196312888789,0,0,0.0874534362,1e-05,3,0.00853515149556509,1,1,3580,38,865
"866",2021,219,1,2235,2021-08-07 01:00:00,7.76916666666667,18.4720833333333,7.44612899274285,1.0433833034908,0,0,0.0874534362,1e-05,3,0.00855848878529082,1,1,3580,38,866
"867",2021,219,2,2237,2021-08-07 02:00:00,7.66533333333333,18.55275,7.43370502182565,1.0311592013441,0,0,0.0874534362,1e-05,3,0.00857596440776572,1,1,3580,38,867
"868",2021,219,3,2239,2021-08-07 03:00:00,7.66533333333333,18.4020833333333,7.45693925237164,1.02794632944011,0,0,0.0874534362,1e-05,3,0.00854333628418389,1,1,3580,38,868
"869",2021,219,4,2241,2021-08-07 04:00:00,7.76758333333333,18.3473333333333,7.46541335308328,1.0404759878601,0.704666666666667,0,0.0874534362,0.619808846832932,3,0.00853149286516901,1,1,3580,38,869
"870",2021,219,5,2243,2021-08-07 05:00:00,7.58258333333333,18.4139166666667,7.45510989798687,1.01709880029815,38.7566666666667,0,0.0874534362,34.0894865758113,3,0.00854589697335158,1,1,3580,38,870
"871",2021,219,6,2245,2021-08-07 06:00:00,7.64608333333333,18.4479166666667,7.4498580413129,1.02633946726666,230.426,0,0.0874534362,202.677492914369,3,0.0085532562701875,1,1,3580,38,871
"872",2021,219,7,2247,2021-08-07 07:00:00,7.64816666666667,18.4048333333333,7.45651405147427,1.02570270958646,609.536666666667,0,0.0874534362,536.134652510486,3,0.00854393134465643,1,1,3580,38,872
"873",2021,219,8,2249,2021-08-07 08:00:00,7.67008333333333,18.5430833333333,7.43519195408701,1.03159183793731,1028.10866666667,0.0898439866525015,0.0874534362,904.301107529248,3,0.0089916287714057,1,1,3580,38,873
