name,index,unique_day,middle,lower,upper,yday,year
GPP,119,119,2.502176840554357,0.29266099535137075,5.318221997129482,305,2021
GPP,120,120,1.9409229324458774,0.2145754052727541,4.7347992181452465,306,2021
GPP,121,121,1.937151814070997,0.24970506769965442,4.746550629267007,307,2021
GPP,122,122,1.8513794223268818,0.24310074935102016,4.183822440934979,308,2021
GPP,123,123,0.9320127282722908,0.13103799176466033,2.7166465972392806,310,2021
GPP,124,124,1.796840080451172,0.2092920899727508,4.38388703243249,311,2021
GPP,125,125,1.5618185351643037,0.19486535423457216,4.056357392265094,312,2021
GPP,126,126,1.485704403315094,0.20244628500273285,3.355345037217957,313,2021
GPP,127,127,1.3214154018178625,0.18242726889101576,3.6836605312326602,314,2021
GPP,128,128,1.5116812192519509,0.2140306068068805,3.8423209648456673,315,2021
GPP,129,129,1.6149324875646318,0.2260640141195738,4.099205790916493,316,2021
GPP,130,130,1.5577038778165326,0.2090810257120985,3.959578033909104,317,2021
GPP,131,131,1.6932631169680097,0.18522689852444135,4.3385348775017,318,2021
GPP,132,132,1.6510203677702056,0.18790660845155782,4.048744832429661,319,2021
GPP,133,133,1.512940764086973,0.15051055415973275,3.910823237149712,320,2021
GPP,134,134,1.3274081958223267,0.14289737527845733,3.5758272384041105,321,2021
GPP,135,135,1.5440781907494885,0.15837710396310128,4.027487479381344,322,2021
GPP,136,136,1.190638960638306,0.1374933985262883,3.2391881237510085,323,2021
GPP,137,137,1.6170435374199392,0.1713765065842544,3.7551799396273218,324,2021
GPP,138,138,1.252333224192404,0.12906499206929664,3.2276974949024875,325,2021
GPP,139,139,1.1536994607282978,0.1290891287793033,3.08032944063552,326,2021
GPP,140,140,1.1361184130574868,0.12735660645498373,2.9968211516507455,327,2021
GPP,141,141,1.184009519283637,0.13154426945360378,3.3908011177093837,328,2021
GPP,142,142,1.258897887934812,0.1416881881912145,3.507072479358173,329,2021
GPP,143,143,1.1240574997267945,0.11951030114757596,3.0646446943836785,330,2021
GPP,144,144,1.3345659253864404,0.11772508186129657,3.572480124819577,331,2021
GPP,145,145,1.1738772222118177,0.11034185220598856,3.2904819670762913,332,2021
GPP,146,146,1.1660445913409625,0.10380893549227094,3.3089465222526773,333,2021
GPP,147,147,1.2980168193623167,0.11258662681579959,3.7640596059457128,334,2021
GPP,148,148,1.2327960206080586,0.11093051569727844,3.4598804335783315,335,2021
GPP,149,149,1.2388387707007078,0.10919730129013572,3.477165689594617,336,2021
GPP,150,150,1.2599744776804855,0.12112660549273886,3.890087769252922,337,2021
GPP,151,151,1.2509461613100514,0.12170548101612091,4.14048980640857,338,2021
GPP,152,152,1.262611802822832,0.10977174680698637,4.2183086343561484,339,2021
GPP,153,153,1.0908406658540264,0.10436800698692149,3.0143339843747654,340,2021
GPP,154,154,1.2931963502315607,0.11949494689679234,3.5090648527197708,341,2021
GPP,155,155,1.3180401039720246,0.1130665779625469,3.696813309970941,342,2021
GPP,156,156,1.050675459743707,0.09104817067083525,2.93378987200731,343,2021
GPP,157,157,1.1560663637902322,0.08124164566199803,3.5257551402858063,344,2021
GPP,158,158,0.515475993460649,0.0388265380945902,1.7266121014643891,345,2021
ER,1,1,-10.527534753641925,-0.6800851084475481,-26.336364409182714,182,2021
ER,2,2,-11.738262921504152,-1.592346012275424,-25.975230893464616,183,2021
ER,3,3,-11.483957728695989,-1.1235467554956704,-25.164341248756624,184,2021
ER,4,4,-12.575375583878442,-1.7943923895834333,-26.3031351301375,185,2021
ER,5,5,-12.477559840951821,-1.0450438224172607,-24.99944823649272,186,2021
ER,6,6,-15.061137308815141,-2.939062910082554,-26.68146377613411,187,2021
ER,7,7,-13.772183028552027,-2.2275556362510707,-24.886010253138355,188,2021
ER,8,8,-18.174037907202543,-6.2758168372697964,-29.19989394212652,189,2021
ER,9,9,-22.78958204782338,-11.50886351253394,-34.31198959253961,190,2021
ER,10,10,-25.56024455643934,-13.912399495577642,-36.99272009373728,191,2021
ER,11,11,-25.53961635868921,-13.426556673440428,-37.10019553366004,192,2021
ER,12,12,-23.29907754024258,-11.089636949595743,-35.04111904264982,193,2021
ER,13,13,-25.218117917764587,-13.304976024062595,-36.89255427540107,194,2021
ER,14,14,-26.189481556522782,-14.358031727691884,-37.568201870176004,195,2021
ER,15,15,-22.140532717464517,-10.738513253205413,-33.54541679700512,196,2021
ER,16,16,-22.960953080403396,-11.003222246106722,-34.04683942863623,197,2021
ER,17,17,-19.251814044003495,-7.290117119659698,-31.47161589854702,198,2021
ER,18,18,-17.360091499207705,-4.607288108227711,-29.037955402933655,199,2021
ER,19,19,-13.70556481911387,-1.6923901581266987,-25.54859321546223,200,2021
ER,20,20,-11.051886058608691,-1.1023217587841083,-22.689678729042697,201,2021
ER,21,21,-11.127523171670536,-1.2975607519748298,-22.513913703396337,202,2021
ER,22,22,-10.813197783306826,-1.5875997874113723,-22.328601446360334,203,2021
ER,23,23,-10.247072087239903,-1.1509678710040911,-21.227242475537114,204,2021
ER,24,24,-9.169295281576321,-0.8532389216015569,-19.84698343351422,205,2021
ER,25,25,-7.811677829805468,-0.7514323708649584,-18.671777606976832,206,2021
ER,26,26,-7.161914706475003,-0.6275516021684285,-17.972069056766866,207,2021
ER,27,27,-6.491932793207716,-0.4245515270672421,-16.478779371974234,208,2021
ER,28,28,-6.3350557813889825,-0.421193326970132,-16.424675635917367,209,2021
ER,29,29,-6.733071892544096,-0.53708885676694,-16.58647327437507,210,2021
ER,30,30,-6.167751013632495,-0.45519766471968803,-16.460331183549307,211,2021
ER,31,31,-6.156112979958728,-0.40026078330213327,-16.65341030133713,212,2021
ER,32,32,-5.922366348273675,-0.43586165543784017,-16.4246513256287,213,2021
ER,33,33,-6.858367539500258,-0.5160021155060076,-16.944973875942644,214,2021
ER,34,34,-6.700412034529771,-0.41565568955736193,-16.74701628615732,215,2021
ER,35,35,-6.272332104432993,-0.4726679189468198,-16.83654358765602,216,2021
ER,36,36,-6.148291596731722,-0.3705080222441733,-17.096403822716283,217,2021
ER,37,37,-5.922699868134362,-0.4659148521681542,-16.99747872954183,218,2021
ER,38,38,-7.404164262799901,-0.5204487634190003,-17.940246878028614,219,2021
ER,39,39,-7.5569129092977985,-0.6871077094968433,-18.41179895883666,220,2021
ER,40,40,-6.9420955271137945,-0.5220366968136104,-17.867526288986532,221,2021
ER,41,41,-6.718836985078504,-0.5317830683748708,-17.727475760137278,222,2021
ER,42,42,-7.590352357447885,-0.4954078585262357,-18.105105809183954,223,2021
ER,43,43,-7.94974138572778,-0.7822128157255129,-18.797252449070193,224,2021
ER,44,44,-7.7266633890561724,-0.5991300331261732,-18.663895200301493,225,2021
ER,45,45,-8.029375648651083,-0.7315527949538356,-19.295677120491245,226,2021
ER,46,46,-7.464228858546152,-0.5275207739422229,-18.785030128081576,227,2021
ER,47,47,-6.885320605152133,-0.144238348295641,-18.5668417083243,228,2021
ER,48,48,-7.497594171701512,-0.6372160246264916,-19.791715975734707,229,2021
ER,49,49,-8.134637936545335,-0.6763209577420253,-19.911721901762057,230,2021
ER,50,50,-8.529222466570113,-0.7752971788672562,-19.54633051508427,231,2021
ER,51,51,-8.042163103123647,-0.5909686490233566,-19.21463300539449,232,2021
ER,52,52,-7.395976397100827,-0.490549599473683,-18.80387939469309,233,2021
ER,53,53,-7.371301250195935,-0.5152577413110925,-18.700043854439727,235,2021
ER,54,54,-7.115681318417173,-0.4798810558323885,-17.934844134876354,236,2021
ER,55,55,-6.972558805135961,-0.4640812130414772,-18.0393389783132,237,2021
ER,56,56,-7.222486504261012,-0.6984954185313149,-17.737399224284186,238,2021
ER,57,57,-6.914233922940586,-0.6390607621575081,-17.192431673879604,239,2021
ER,58,58,-6.504325480189343,-0.4370436941941072,-16.90579567557548,240,2021
ER,59,59,-5.647226981299987,-0.3990102003329596,-15.581996952137215,241,2021
